Date,Ticker,Volume
2022-02-07,CVX,18422500
2022-02-08,CVX,11021600
2022-02-09,CVX,10140800
2022-02-10,CVX,11012700
2022-02-11,CVX,12821200
2022-02-14,CVX,15945000
2022-02-15,CVX,11746800
2022-02-16,CVX,11348800
2022-02-17,CVX,10073900
2022-02-18,CVX,10691800
2022-02-22,CVX,19428700
2022-02-23,CVX,16134200
2022-02-24,CVX,22108900
2022-02-25,CVX,28028000
2022-02-28,CVX,24394300
2022-03-01,CVX,31159900
2022-03-02,CVX,31329500
2022-03-03,CVX,22492900
2022-03-04,CVX,29034400
2022-03-07,CVX,34824700
2022-03-08,CVX,57231000
2022-03-09,CVX,43430000
2022-03-10,CVX,34913600
2022-03-11,CVX,28423600
2022-03-14,CVX,25156200
2022-03-15,CVX,28534400
2022-03-16,CVX,22299700
2022-03-17,CVX,15750700
2022-03-18,CVX,23214700
2022-03-21,CVX,13180600
2022-03-22,CVX,11063900
2022-03-23,CVX,10755000
2022-03-24,CVX,9024800
2022-03-25,CVX,10254700
2022-03-28,CVX,9992000
2022-03-29,CVX,15102600
2022-03-30,CVX,9906000
2022-03-31,CVX,10395900
2022-01-03,PTR,113200
2022-01-04,PTR,160300
2022-01-05,PTR,210600
2022-01-06,PTR,113300
2022-01-07,PTR,266300
2022-01-10,PTR,128000
2022-01-11,PTR,135400
2022-01-12,PTR,211400
2022-01-13,PTR,125400
2022-01-14,PTR,168800
2022-01-18,PTR,291000
2022-01-19,PTR,210300
2022-01-20,PTR,200300
2022-01-21,PTR,173400
2022-01-24,PTR,338500
2022-01-25,PTR,239300
2022-01-26,PTR,438800
2022-01-27,PTR,116400
2022-01-28,PTR,186100
2022-01-31,PTR,131200
2022-02-01,PTR,167400
2022-02-02,PTR,230200
2022-02-03,PTR,106200
2022-02-04,PTR,278200
2022-02-07,PTR,283900
2022-02-08,PTR,246000
2022-02-09,PTR,132400
2022-02-10,PTR,160900
2022-02-11,PTR,348800
2022-02-14,PTR,237500
2022-02-15,PTR,438500
2022-02-16,PTR,210900
2022-02-17,PTR,167100
2022-02-18,PTR,112900
2022-02-22,PTR,198600
2022-02-23,PTR,161300
2022-02-24,PTR,312300
2022-02-25,PTR,215100
2022-02-28,PTR,187900
2022-03-01,PTR,302600
2022-03-02,PTR,258500
2022-03-03,PTR,269900
2022-03-04,PTR,209600
2022-03-07,PTR,423700
2022-03-08,PTR,434800
2022-03-09,PTR,671000
2022-03-10,PTR,312800
2022-03-11,PTR,262900
2022-03-14,PTR,329900
2022-03-15,PTR,436300
2022-03-16,PTR,292400
2022-03-17,PTR,301700
2022-03-18,PTR,214500
2022-03-21,PTR,182400
2022-03-22,PTR,244000
2022-03-23,PTR,245800
2022-03-24,PTR,150100
2022-03-25,PTR,189100
2022-03-28,PTR,140500
2022-03-29,PTR,187500
2022-03-30,PTR,145500
2022-03-31,PTR,240900
2022-01-03,TTE,2172200
