Date,Ticker,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE
2022-03-30,CVX,165.2400055,166.3500061,163.6600037,165.4799957,165.4799957
2022-03-31,CVX,163.4700012,166.1600037,162.7200012,162.8300018,162.8300018
2022-01-03,PTR,44.31000137,45.18000031,44.25,44.97999954,44.97999954
2022-01-04,PTR,44.61000061,45.11999893,44.50999832,45,45
2022-01-05,PTR,45.43999863,45.84999847,44.79000092,44.83000183,44.83000183
2022-01-06,PTR,45.27999878,45.52000046,44.88999939,45.5,45.5
2022-01-07,PTR,47.20000076,48.29999924,46.79999924,48.02999878,48.02999878
2022-01-10,PTR,48.00999832,48.00999832,47.04000092,47.16999817,47.16999817
2022-01-11,PTR,47.40000153,48.63000107,47.27000046,48.61999893,48.61999893
2022-01-12,PTR,49.20000076,50.38999939,49.04999924,49.59999847,49.59999847
2022-01-13,PTR,49.77999878,50.22000122,49.52000046,49.56999969,49.56999969
2022-01-14,PTR,49.65999985,50.70000076,49.34999847,50.63999939,50.63999939
2022-01-18,PTR,51.54000092,52.34999847,51.27999878,51.61999893,51.61999893
2022-01-19,PTR,52.31000137,52.47999954,51.11999893,51.59000015,51.59000015
2022-01-20,PTR,51.20000076,51.27999878,50.04000092,50.09000015,50.09000015
2022-01-21,PTR,49.75999832,50.41999817,49.11999893,49.63999939,49.63999939
2022-01-24,PTR,49.11999893,49.63999939,47.84000015,49.27999878,49.27999878
2022-01-25,PTR,49.13999939,51.36999893,48.70999908,51.06000137,51.06000137
2022-01-26,PTR,51.27999878,51.72000122,50.54000092,51.22999954,51.22999954
2022-01-27,PTR,51.25999832,51.79999924,50.06000137,50.50999832,50.50999832
2022-01-28,PTR,50.47000122,50.52999878,49.13999939,49.68999863,49.68999863
2022-01-31,PTR,49.66999817,50.27999878,49.31999969,49.49000168,49.49000168
2022-02-01,PTR,49.66999817,50.63000107,49.27000046,50.36999893,50.36999893
2022-02-02,PTR,50.79999924,51.27000046,50.08000183,50.83000183,50.83000183
2022-02-03,PTR,50.70999908,51.15999985,50.47000122,50.97000122,50.97000122
2022-02-04,PTR,51.27999878,52.41999817,51.27999878,51.75999832,51.75999832
2022-02-07,PTR,52.31999969,52.95999908,51.95999908,52.61000061,52.61000061
2022-02-08,PTR,52.79999924,53,51.45000076,52.25999832,52.25999832
2022-02-09,PTR,52.59999847,53.5,52.5,53.49000168,53.49000168
2022-02-10,PTR,53,53.88000107,52.54000092,52.77000046,52.77000046
2022-02-11,PTR,53,55.18000031,53,55.09000015,55.09000015
2022-02-14,PTR,54.86000061,54.86000061,53.34000015,54.08000183,54.08000183
2022-02-15,PTR,52.63999939,52.63999939,50.63000107,50.79999924,50.79999924
2022-02-16,PTR,52.02000046,53.31000137,52.02000046,52.13000107,52.13000107
2022-02-17,PTR,52.45999908,52.58000183,51.81999969,52.27000046,52.27000046
2022-02-18,PTR,51.90999985,52.40999985,51.63999939,52.38999939,52.38999939
2022-02-22,PTR,53.63999939,53.93999863,52.58000183,53.24000168,53.24000168
2022-02-23,PTR,53.20000076,53.25,51.86999893,52.34000015,52.34000015
2022-02-24,PTR,54,54.04000092,52,52.77000046,52.77000046
2022-02-25,PTR,52.22999954,52.40999985,50.88999939,51.65000153,51.65000153
2022-02-28,PTR,52.00999832,53.56000137,51.81999969,53.25999832,53.25999832
2022-03-01,PTR,53.45999908,54.24000168,53.18999863,53.75999832,53.75999832
2022-03-02,PTR,54.88999939,55,54.04999924,54.24000168,54.24000168
2022-03-03,PTR,53.61999893,53.91999817,52.75,53.66999817,53.66999817
2022-03-04,PTR,53.61000061,55.86000061,53.61000061,55.84000015,55.84000015
2022-03-07,PTR,56.15999985,57.47999954,56.13999939,57.36000061,57.36000061
2022-03-08,PTR,57.24000168,57.86999893,54.36999893,55.72999954,55.72999954
2022-03-09,PTR,53.31000137,53.45000076,50.00999832,50.34999847,50.34999847
2022-03-10,PTR,50.36000061,51.31000137,50.27000046,50.56000137,50.56000137
2022-03-11,PTR,50,50.02000046,49.02000046,49.54999924,49.54999924
2022-03-14,PTR,48.22000122,48.54000092,46.50999832,46.83000183,46.83000183
2022-03-15,PTR,44.84999847,45.31000137,43.27999878,44.75999832,44.75999832
2022-03-16,PTR,46.13999939,46.95999908,45.47000122,46.49000168,46.49000168
2022-03-17,PTR,48.40000153,49.41999817,47.72000122,49.18000031,49.18000031
2022-03-18,PTR,49.20000076,49.59999847,48.61000061,49.40999985,49.40999985
2022-03-21,PTR,49.61000061,49.88999939,49.27999878,49.72999954,49.72999954
2022-03-22,PTR,50.34999847,50.77999878,49.47999954,50.24000168,50.24000168
2022-03-23,PTR,50.36999893,52.54999924,50.36000061,51.63999939,51.63999939
2022-03-24,PTR,51.70999908,51.72999954,50.33000183,50.49000168,50.49000168
2022-03-25,PTR,50.84999847,52.97999954,50.41999817,52.54000092,52.54000092
2022-03-28,PTR,52.29000092,52.29000092,50.93000031,51.13000107,51.13000107
2022-03-29,PTR,50.88000107,52.36000061,49.93999863,52.25,52.25
2022-03-30,PTR,52.5,53.61999893,52.5,53.16999817,53.16999817
2022-03-31,PTR,51.84000015,51.93000031,50.45999908,50.54999924,50.54999924
2022-01-03,TTE,50.72000122,51.27999878,50.61999893,50.97999954,50.23823547
2022-01-04,TTE,51.06000137,51.56000137,51.06000137,51.24000168,50.49445343
2022-01-05,TTE,52.20999908,52.43999863,51.34000015,51.38999939,50.64226913
2022-01-06,TTE,52.40999985,52.5,51.84000015,52.09999847,51.34193802
2022-01-07,TTE,52.54999924,53.04999924,52.18000031,52.97000122,52.1992836
2022-01-10,TTE,53.09000015,53.27999878,52.70999908,53.20000076,52.42593765
2022-01-11,TTE,53.54999924,54.77000046,53.49000168,54.70999908,53.91396332
2022-01-12,TTE,55.77000046,56.20999908,55.68000031,56.02999878,55.21475601
2022-01-13,TTE,55.84999847,56.18999863,55.43999863,55.52000046,54.71218109
2022-01-14,TTE,56.24000168,57.16999817,56.22000122,57.09999847,56.26918793
2022-01-18,TTE,57.43000031,57.88999939,56.95000076,57.68000031,56.84075165
2022-01-19,TTE,58.15999985,58.83000183,57.43999863,58.38999939,57.54042053
2022-01-20,TTE,57.04000092,58.45999908,56.93999863,57.11999893,56.28889847
2022-01-21,TTE,56.09000015,56.49000168,55.54000092,55.63000107,54.82057953
2022-01-24,TTE,54.49000168,55.40999985,53.63000107,55.40999985,54.60377884
2022-01-25,TTE,55.04000092,56.59000015,54.11999893,56.38000107,55.55966568
2022-01-26,TTE,57.74000168,57.99000168,56.61000061,57.13000107,56.29875565
2022-01-27,TTE,58.38999939,58.59999847,57.20999908,57.83000183,56.98857117
2022-01-28,TTE,56.95999908,57.34000015,56.49000168,57.31000137,56.47613525
2022-01-31,TTE,56.47000122,56.95000076,56.04000092,56.79999924,55.9735527
2022-02-01,TTE,57.09999847,58.15000153,57.08000183,57.90000153,57.05755234
2022-02-02,TTE,57.36000061,57.40999985,56.68000031,57.29000092,56.45642471
2022-02-03,TTE,56.75999832,57.58000183,56.16999817,57.20999908,56.37759018
2022-02-04,TTE,58.02000046,58.66999817,57.88999939,58.36999893,57.52070999
2022-02-07,TTE,58.25,58.93000031,58,58.59000015,57.73751068
2022-02-08,TTE,59.36999893,59.45999908,58.43000031,58.84000015,57.98387146
2022-02-09,TTE,59.5,60.04000092,59.36999893,60.02999878,59.15655518
2022-02-10,TTE,58.70999908,59.81999969,58.65000153,59.04000092,58.18096542
2022-02-11,TTE,59.27000046,59.88999939,58.25999832,58.65000153,57.79663849
2022-02-14,TTE,58.58000183,58.65999985,57.59000015,58.33000183,57.48129654
2022-02-15,TTE,57.43999863,57.93999863,56.72999954,57.43999863,56.60424042
2022-02-16,TTE,57.66999817,58.79999924,57.65999985,58.09000015,57.24478531
2022-02-17,TTE,57.56000137,57.93999863,57.04000092,57.49000168,56.65351868
2022-02-18,TTE,57.15000153,57.61999893,56.97999954,57.58000183,56.74220657
2022-02-22,TTE,57.08000183,57.29000092,55.84000015,56.15000153,55.33301544
2022-02-23,TTE,56.45000076,56.66999817,55.77000046,56.29000092,55.47097778
2022-02-24,TTE,54.65999985,54.77999878,52.09000015,53.18000031,52.40622711
2022-02-25,TTE,54.38000107,54.70000076,54.08000183,54.70000076,53.90410995
2022-02-28,TTE,50.75999832,51.61000061,50.13999939,50.52999878,49.79478455
2022-03-01,TTE,50.09999847,50.36000061,48.81000137,49.29000092,48.57282639
2022-03-02,TTE,52.22999954,53.56000137,52.09999847,53.27999878,52.50476837
2022-03-03,TTE,52.59000015,52.90000153,50.86000061,50.93000031,50.18896484
2022-03-04,TTE,49.54000092,49.72999954,48.49000168,49.20000076,48.48413467
2022-03-07,TTE,48.86999893,49.47999954,48.33000183,48.81000137,48.09981155
2022-03-08,TTE,50.04999924,50.49000168,48.99000168,50.15999985,49.43016815
2022-03-09,TTE,50.52000046,51.63000107,50.00999832,50.66999817,49.93274689
2022-03-10,TTE,50.27999878,50.97000122,50.09000015,50.79000092,50.0510025
2022-03-11,TTE,50.25999832,50.52000046,49.59999847,49.65000153,48.92758942
2022-03-14,TTE,50.36999893,50.59999847,49.72000122,49.97000122,49.24293137
2022-03-15,TTE,49.54000092,50.11999893,48.79000092,49.75999832,49.03598404
2022-03-16,TTE,50.18999863,50.84000015,49.34999847,50.11000061,49.38089371
2022-03-17,TTE,50.68999863,51.34999847,50.52999878,50.79000092,50.0510025
2022-03-18,TTE,49.45999908,50.25,48.90000153,49.81999969,49.81999969
2022-03-21,TTE,50.11000061,50.54999924,50.02000046,50.31999969,50.31999969
2022-03-22,TTE,50.79000092,51,50.36000061,50.77000046,50.77000046
2022-03-23,TTE,50.47999954,51.13999939,50.25,51.02000046,51.02000046
2022-03-24,TTE,51.75999832,52.02999878,51.31999969,51.59000015,51.59000015
2022-03-25,TTE,51.65000153,52.58000183,51.58000183,52.47999954,52.47999954
2022-03-28,TTE,52.34000015,52.34000015,51.11999893,51.29999924,51.29999924
2022-03-29,TTE,51.27000046,51.70000076,50.47999954,51.70000076,51.70000076
2022-03-30,TTE,52.18000031,52.63999939,52.02000046,52.20999908,52.20999908
2022-03-31,TTE,51.36999893,51.50999832,50.52999878,50.54000092,50.54000092
2022-01-03,COP,72.02999878,73.95999908,72.01999664,73.76999664,73.18209076
